Frank Pfenning,Carnegie Mellon University
Dan Klein,University of California-Berkeley
Randy H. Katz,University of California-Berkeley
Anthony D. Joseph,University of California-Berkeley
Robert Wilensky,University of California-Berkeley
Domenico Ferrari,University of California-Berkeley
Björn Hartmann,University of California-Berkeley
Michael A. Harrison,University of California-Berkeley
Bernd Sturmfels,University of California-Berkeley
John Wawrzynek,University of California-Berkeley
Kenneth Y. Goldberg,University of California-Berkeley
Eric A. Brewer,University of California-Berkeley
David E. Culler,University of California-Berkeley
Christos H. Papadimitriou,University of California-Berkeley
C. V. Ramamoorthy,University of California-Berkeley
Joseph M. Hellerstein,University of California-Berkeley
Dawn Xiaodong Song,University of California-Berkeley
Stuart J. Russell,University of California-Berkeley
Jerome A. Feldman,University of California-Berkeley
George C. Necula,University of California-Berkeley
Ravi Ramamoorthi,University of California-Berkeley
Ruzena Bajcsy,University of California-Berkeley
Koushik Sen,University of California-Berkeley
David A. Patterson,University of California-Berkeley
James F. O'Brien,University of California-Berkeley
Elchanan Mossel,University of California-Berkeley
Pieter Abbeel,University of California-Berkeley
Krste Asanovic,University of California-Berkeley
Satish Rao,University of California-Berkeley
Susan L. Graham,University of California-Berkeley
Lawrence A. Rowe,University of California-Berkeley
Vern Paxson,University of California-Berkeley
Katherine A. Yelick,University of California-Berkeley
Thomas L. Griffiths,University of California-Berkeley
John Kubiatowicz,University of California-Berkeley
J. Doug Tygar,University of California-Berkeley
Brian A. Barsky,University of California-Berkeley
Armando Fox,University of California-Berkeley
Alan Jay Smith,University of California-Berkeley
Michael I. Jordan,University of California-Berkeley
Alistair Sinclair,University of California-Berkeley
John F. Canny,University of California-Berkeley
Paul N. Hilfinger,University of California-Berkeley
Ion Stoica,University of California-Berkeley
James Demmel,University of California-Berkeley
Trevor Darrell,University of California-Berkeley
Sylvia Ratnasamy,University of California-Berkeley
Richard M. Karp,University of California-Berkeley
Rastislav Bodík,University of California-Berkeley
Lior Pachter,University of California-Berkeley
Jitendra Malik,University of California-Berkeley
Michael J. Franklin,University of California-Berkeley
Umesh V. Vazirani,University of California-Berkeley
Lotfi A. Zadeh,University of California-Berkeley
Peter L. Bartlett,University of California-Berkeley
William Kahan,University of California-Berkeley
Marti A. Hearst,University of California-Berkeley
Jonathan Richard Shewchuk,University of California-Berkeley
Richard J. Fateman,University of California-Berkeley
Elwyn R. Berlekamp,University of California-Berkeley
Carlo H. Séquin,University of California-Berkeley
Beresford N. Parlett,University of California-Berkeley
David Wagner,University of California-Berkeley
Phillip Colella,University of California-Berkeley
Maneesh Agrawala,University of California-Berkeley
Scott Shenker,University of California-Berkeley
Luca Trevisan,Stanford University
John McCarthy,Stanford University
Edward J. McCluskey,Stanford University
Jeffrey D. Ullman,Stanford University
Mark Horowitz,Stanford University
Gio Wiederhold,Stanford University
Daphne Koller,Stanford University
Eric Roberts,Stanford University
Jennifer Widom,Stanford University
Oussama Khatib,Stanford University
Mehran Sahami,Stanford University
Gill Bejerano,Stanford University
Jean-Claude Latombe,Stanford University
Leonidas J. Guibas,Stanford University
John C. Mitchell,Stanford University
Stephen Cooper,Stanford University
Andrew Y. Ng,Stanford University
Scott R. Klemmer,Stanford University
Sachin Katti,Stanford University
David R. Cheriton,Stanford University
Jeffrey Heer,Stanford University
Philip Levis,Stanford University
Vaughan R. Pratt,Stanford University
Dan Boneh,Stanford University
Pat Hanrahan,Stanford University
Christopher D. Manning,Stanford University
Michael R. Genesereth,Stanford University
Balaji Prabhakar,Stanford University
John Kenneth Salisbury Jr.,Stanford University
David L. Dill,Stanford University
Alexander Aiken,Stanford University
John K. Ousterhout,Stanford University
David Mazières,Stanford University
Nick McKeown,Stanford University
Terry Winograd,Stanford University
Edward A. Feigenbaum,Stanford University
