,Name,GS_Name,CNPqLevel,Begin,End,University,GS_Name,GS_Link,GS_H5,GS_Cits,GS_H5_2010,GS_Cits_2010
69,Célia Aparecida Zorzo Barcelos,,1D,01/03/14,28/02/2018,UFU,,,,,,
70,Celia Picinin de Mello,Celia Picinin de Mello,1C,01/03/14,28/02/2018,UNICAMP,Celia Picinin de Mello,/citations?user=YG85yXoAAAAJ&hl=pt-BR,10.0,296.0,8.0,174.0
71,Celina Miraglia Herrera de Figueiredo,Celina Miraglia Herrera de Figueiredo,1A,01/03/12,28/02/2017,UFRJ,Celina Miraglia Herrera de Figueiredo,/citations?user=J3aJNYUAAAAJ&hl=pt-BR,18.0,1015.0,12.0,541.0
72,Célio Vinicius Neves de Albuquerque,Celio Albuquerque,1D,01/03/14,28/02/2018,UFF,Celio Albuquerque,/citations?user=cB78oMQAAAAJ&hl=pt-BR,17.0,1198.0,13.0,689.0
73,Celso da Cruz Carneiro Ribeiro,Celso C. Ribeiro,1A,01/03/11,29/02/2016,UFF,Celso C. Ribeiro,/citations?user=yGl1MwgAAAAJ&hl=pt-BR,41.0,6840.0,26.0,3114.0
74,Celso Massaki Hirata,Celso Hirata,2,01/03/13,29/02/2016,ITA,Celso Hirata,/citations?user=3npaUbUAAAAJ&hl=pt-BR,7.0,221.0,6.0,137.0
75,Cesar Augusto Fonticielha De Rose,Csar A. F. De Rose,2,01/03/13,29/02/2016,PUCRS,Csar A. F. De Rose,/citations?user=MliaRD4AAAAJ&hl=pt-BR,15.0,1987.0,13.0,1722.0
76,Christiane Anneliese Gresse von Wangenheim,Christiane Gresse von Wangenheim,2,01/03/14,28/02/2017,UFSC,Christiane Gresse von Wangenheim,/citations?user=SXkE1UkAAAAJ&hl=pt-BR,17.0,1321.0,14.0,731.0
77,Cid Carvalho de Souza,Cid Carvalho de Souza,1C,01/08/13,28/02/2015,UNICAMP,Cid Carvalho de Souza,/citations?user=t_w8cAkAAAAJ&hl=pt-BR,20.0,1182.0,13.0,596.0
78,Clarisse Sieckenius de Souza,Clarisse Sieckenius de Souza,1B,01/03/14,28/02/2018,PUC-Rio,Clarisse Sieckenius de Souza,/citations?user=6RTKabUAAAAJ&hl=pt-BR,22.0,2895.0,14.0,1262.0
79,Claudia Linhares Sales,,1D,01/03/14,28/02/2018,UFC,,,,,,
80,Claudia Maria Bauzer Medeiros,Claudia Bauzer Medeiros,1A,01/03/12,28/02/2017,UNICAMP,Claudia Bauzer Medeiros,/citations?user=Kf2m1twAAAAJ&hl=pt-BR,23.0,2003.0,15.0,715.0
81,Claudia Maria Lima Werner,,1D,01/03/11,28/02/2015,UFRJ,,,,,,
82,Cláudio Leonardo Lucchesi,,1A,01/03/12,28/02/2017,UFMS,,,,,,
83,Claudio Luis de Amorim,,2,01/03/12,28/02/2015,UFRJ,,,,,,
84,Cláudio Rosito Jung,CLAUDIO ROSITO JUNG,1D,01/03/11,28/02/2015,UFRGS,CLAUDIO ROSITO JUNG,/citations?user=3hU1tEkAAAAJ&hl=pt-BR,22.0,1626.0,19.0,1115.0
85,Cleonice Fátima Bracciali,Cleonice Ftima Bracciali,2,01/03/13,29/02/2016,UNESP,Cleonice Ftima Bracciali,/citations?user=KAQmPN4AAAAJ&hl=pt-BR,7.0,173.0,6.0,87.0
86,Clodoveu Augusto Davis Junior,Clodoveu Davis,2,01/03/13,29/02/2016,UFMG,Clodoveu Davis,/citations?user=Ov9xlMIAAAAJ&hl=pt-BR,22.0,2391.0,15.0,1033.0
87,Corina da Costa Freitas,corina da costa freitas,1C,01/03/14,28/02/2018,INPE,corina da costa freitas,/citations?user=7TbNmJQAAAAJ&hl=pt-BR,22.0,2508.0,17.0,1328.0
88,Cristina Gomes Fernandes,Cristina G. Fernandes,1D,01/03/13,28/02/2017,USP,Cristina G. Fernandes,/citations?user=XnaNOq8AAAAJ&hl=pt-BR,11.0,486.0,8.0,272.0
89,Daniel Fernandes Macedo,,2,01/03/13,29/02/2016,UFMG,,,,,,
90,Daniel Macêdo Batista,Daniel Batista,2,01/03/13,29/02/2016,USP,Daniel Batista,/citations?user=6iYphXAAAAAJ&hl=pt-BR,9.0,442.0,9.0,385.0
91,Daniel Morgato Martin,,2,01/03/13,29/02/2016,UFABC,,,,,,
92,Daniel Ratton Figueiredo,Daniel R. Figueiredo,2,01/03/12,28/02/2015,UFRJ,Daniel R. Figueiredo,/citations?user=j4YbANwAAAAJ&hl=pt-BR,14.0,1243.0,10.0,459.0
93,Daniel Schwabe,Daniel Schwabe,1C,01/03/14,28/02/2018,PUC-Rio,Daniel Schwabe,/citations?user=reAUXs0AAAAJ&hl=pt-BR,36.0,6665.0,19.0,1412.0
94,David Boris Paul Déharbe,David Deharbe,2,01/03/13,29/02/2016,UFRN,David Deharbe,/citations?user=1mlbsXAAAAAJ&hl=pt-BR,15.0,618.0,8.0,260.0
95,David Corrêa Martins Junior,David Correa Martins Jr,2,01/03/12,28/02/2015,UFABC,David Correa Martins Jr,/citations?user=IT3CnCcAAAAJ&hl=pt-BR,8.0,231.0,7.0,153.0
96,Denis Fernando Wolf,Denis Wolf,2,01/03/12,28/02/2015,USP,Denis Wolf,/citations?user=ncy_2xUAAAAJ&hl=pt-BR,16.0,1146.0,13.0,784.0
97,Denise Guliato,,2,01/03/12,28/02/2015,UFU,,,,,,
98,Divanilson Rodrigo de Sousa Campelo,Divanilson R. Campelo,2,01/03/13,29/02/2016,UFPE,Divanilson R. Campelo,/citations?user=a7o3A7YAAAAJ&hl=pt-BR,7.0,354.0,6.0,290.0
99,Djamel Fawzi Hadj Sadok,,1D,01/03/11,28/02/2015,UFPE,,,,,,
100,Dorgival Olavo Guedes Neto,Dorgival Guedes,2,01/03/14,28/02/2017,UFMG,Dorgival Guedes,/citations?user=cb7k9WIAAAAJ&hl=pt-BR,11.0,576.0,10.0,418.0
101,Edleno Silva de Moura,Edleno Silva de Moura,1D,01/03/11,28/02/2015,UFAM,Edleno Silva de Moura,/citations?user=gMHGurgAAAAJ&hl=pt-BR,25.0,2580.0,20.0,1300.0
102,Edmundo Albuquerque de Souza e Silva,Edmundo de Souza e Silva,1A,01/03/10,28/02/2015,UFRJ,Edmundo de Souza e Silva,/citations?user=r9ngIuMAAAAJ&hl=pt-BR,22.0,1668.0,11.0,479.0
103,Edmundo Roberto Mauro Madeira,Edmundo Madeira,1D,01/03/14,28/02/2018,UNICAMP,Edmundo Madeira,/citations?user=4AGL2sIAAAAJ&hl=pt-BR,17.0,1195.0,13.0,714.0
